Register Name,Register Description,Register Address,Register Width,Register Reset Value,Register Access,Field Name,Field Description,Field Offset,Field Width,Field Reset Value,Field Access,Vista_Access_Port,Vista_Is_Trigger,Field Hw Access,Field Condition,Field Action,Field Logic Comment,Field is Covered,Field is Reserved,Field is Volatile,Field Constraints,Field Parameter Name,Field Parameter Value,Field Parameter Description,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTDMACR,,0x48,16,0x0,RW,UARTDMAONERROR,,2,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTDMACR,,,,,,UARTTXDMAE,,1,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
UARTDMACR,,,,,,UARTRXDMAE,,0,1,0x0,RW,AMBA_APB,TRUE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTPeriphID0,,0xFE0,8,0x0,RO,,,,,,,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTPeriphID1,,0xFE4,8,0x0,RO,,,,,,,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTPeriphID2,,0xFE8,8,0x0,RO,,,,,,,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTPeriphID3,,0xFEC,8,0x0,RO,,,,,,,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTCellID0,,0xFF0,8,0x0,RO,,,,,,,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTCellID1,,0xFF4,8,0x0,RO,,,,,,,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTCellID2,,0xFF8,8,0x0,RO,,,,,,,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UARTCellID3,,0xFFC,8,0x0,RO,,,,,,,AMBA_APB,,,,,,,,,,,,,,,,,,,,,,,
